Person,CQ ID,"Decision (Y,N)",Difficulty (1-5),"LLM available? (y,n)",A then B,correctnessOfDecision
65c43487,15,N,4,N,N,Y
65c43487,13,N,3,N,N,N
1b47bac2,13,Y,3,N,Y,Y
1b47bac2,11,N,5,N,Y,N
1b47bac2,12,Y,3,N,Y,Y
1b47bac2,10,N,4,N,Y,N
1b47bac2,9,Y,1,N,Y,Y
1b47bac2,8,Y,2,N,Y,Y
1b47bac2,7,Y,4,N,Y,N
1b47bac2,20,Y,3,Y,Y,Y
1b47bac2,17,N,3,Y,Y,Y
1b47bac2,18,N,2,Y,Y,Y
1b47bac2,16,N,4,Y,Y,Y
1b47bac2,15,Y,3,Y,Y,N
1b47bac2,4,Y,2,Y,Y,Y
1b47bac2,3,Y,3,Y,Y,Y
96765c3c,17,Y,2,N,Y,N
96765c3c,18,N,2,N,Y,Y
96765c3c,10,Y,1,N,Y,Y
96765c3c,9,Y,2,N,Y,Y
96765c3c,8,Y,1,N,Y,Y
96765c3c,6,Y,4,N,Y,N
96765c3c,12,Y,1,Y,Y,Y
96765c3c,13,N,3,Y,Y,N
96765c3c,14,N,2,Y,Y,Y
96765c3c,11,Y,3,Y,Y,Y
96765c3c,20,N,3,Y,Y,N
96765c3c,16,N,1,Y,Y,Y
96765c3c,15,Y,1,Y,Y,N
96765c3c,4,Y,2,Y,Y,Y
96765c3c,2,Y,1,Y,Y,Y
96765c3c,1,N,2,Y,Y,Y
e18acd03,12,Y,3,Y,N,Y
e18acd03,13,N,2,Y,N,N
e18acd03,14,N,4,Y,N,Y
e18acd03,11,Y,3,Y,N,Y
e18acd03,15,N,3,Y,N,Y
e18acd03,10,Y,3,Y,N,Y
e18acd03,9,Y,3,Y,N,Y
e18acd03,8,Y,3,Y,N,Y
e18acd03,20,N,3,N,N,N
e18acd03,16,N,2,N,N,Y
e18acd03,18,N,3,N,N,Y
e18acd03,6,N,3,N,N,Y
e18acd03,5,N,3,N,N,Y
e18acd03,4,Y,3,N,N,Y
e18acd03,1,N,3,N,N,Y
e18acd03,19,N,3,N,N,Y
e18acd03,3,Y,3,N,N,Y
6c6c6bab,20,N,3,N,Y,N
6c6c6bab,16,N,4,N,Y,Y
6c6c6bab,17,Y,2,N,Y,N
6c6c6bab,18,N,1,N,Y,Y
6c6c6bab,6,Y,2,N,Y,N
6c6c6bab,5,Y,2,N,Y,N
6c6c6bab,4,Y,4,N,Y,Y
6c6c6bab,1,N,1,N,Y,Y
6c6c6bab,12,Y,2,Y,Y,Y
6c6c6bab,13,N,3,Y,Y,N
6c6c6bab,14,N,1,Y,Y,Y
6c6c6bab,11,Y,1,Y,Y,Y
6c6c6bab,15,Y,1,Y,Y,N
6c6c6bab,10,Y,1,Y,Y,Y
6c6c6bab,9,Y,1,Y,Y,Y
6c6c6bab,8,Y,1,Y,Y,Y
6c6c6bab,7,Y,4,Y,Y,N
6c6c6bab,2,N,3,Y,Y,N
239d468b,12,Y,3,Y,N,Y
239d468b,13,N,4,Y,N,N
239d468b,14,N,2,Y,N,Y
239d468b,11,Y,4,Y,N,Y
239d468b,15,Y,2,Y,N,N
239d468b,10,Y,2,Y,N,Y
239d468b,9,Y,1,Y,N,Y
239d468b,8,Y,3,Y,N,Y
239d468b,7,Y,4,Y,N,N
239d468b,2,Y,4,Y,N,Y
239d468b,20,N,4,N,N,N
239d468b,16,N,3,N,N,Y
239d468b,17,N,4,N,N,Y
239d468b,18,N,1,N,N,Y
239d468b,6,N,4,N,N,Y
239d468b,5,Y,2,N,N,N
239d468b,4,Y,2,N,N,Y
239d468b,1,Y,2,N,N,N
239d468b,19,N,2,N,N,Y
239d468b,3,Y,2,N,N,Y
31102f1b,12,Y,1,Y,N,Y
31102f1b,13,Y,1,Y,N,Y
31102f1b,11,Y,2,Y,N,Y
31102f1b,18,N,2,Y,N,Y
31102f1b,10,Y,1,Y,N,Y
31102f1b,9,Y,1,Y,N,Y
31102f1b,8,Y,2,Y,N,Y
31102f1b,14,N,2,N,N,Y
31102f1b,20,Y,1,N,N,Y
31102f1b,16,N,5,N,N,Y
31102f1b,17,N,2,N,N,Y
31102f1b,6,Y,3,N,N,N
31102f1b,4,Y,3,N,N,Y
31102f1b,2,Y,3,N,N,Y
31102f1b,19,N,4,N,N,Y
31102f1b,3,Y,4,N,N,Y
27aca7b4,12,Y,1,Y,N,Y
27aca7b4,13,N,2,Y,N,N
27aca7b4,11,Y,1,Y,N,Y
27aca7b4,18,N,1,Y,N,Y
27aca7b4,15,N,1,Y,N,Y
27aca7b4,10,Y,1,Y,N,Y
27aca7b4,9,Y,1,Y,N,Y
27aca7b4,8,Y,2,Y,N,Y
27aca7b4,5,Y,2,Y,N,N
27aca7b4,14,N,4,N,N,Y
27aca7b4,20,Y,3,N,N,Y
27aca7b4,17,N,2,N,N,Y
27aca7b4,6,Y,1,N,N,N
27aca7b4,4,Y,2,N,N,Y
27aca7b4,2,Y,2,N,N,Y
27aca7b4,19,N,3,N,N,Y
